SQ2 chunk 0001
Input: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/chunks/sq2/chunk_0001.jsonl
Output: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq2/chunk_0001_judged.jsonl
Model: /scratch/mberzins/models/prometheus-7b-v2.0
Sat Jun 20 06:13:06 CEST 2026
Task: sq2
Input rows: 400
Already done in output: 0
Output: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq2/chunk_0001_judged.jsonl
Loading tokenizer: /scratch/mberzins/models/prometheus-7b-v2.0
Loading Prometheus model in 4-bit: /scratch/mberzins/models/prometheus-7b-v2.0
Computed prior score preferences.
processed_new=5 skipped=0 row_index=5/400 last_expected=3.221 last_hard=5.0
processed_new=10 skipped=0 row_index=10/400 last_expected=3.158 last_hard=3.0
processed_new=15 skipped=0 row_index=15/400 last_expected=2.650 last_hard=1.0
processed_new=20 skipped=0 row_index=20/400 last_expected=2.745 last_hard=2.0
processed_new=25 skipped=0 row_index=25/400 last_expected=3.230 last_hard=3.0
processed_new=30 skipped=0 row_index=30/400 last_expected=2.682 last_hard=1.0
processed_new=35 skipped=0 row_index=35/400 last_expected=3.175 last_hard=3.0
processed_new=40 skipped=0 row_index=40/400 last_expected=3.186 last_hard=3.0
processed_new=45 skipped=0 row_index=45/400 last_expected=3.173 last_hard=3.0
processed_new=50 skipped=0 row_index=50/400 last_expected=2.973 last_hard=3.0
processed_new=55 skipped=0 row_index=55/400 last_expected=2.719 last_hard=1.0
processed_new=60 skipped=0 row_index=60/400 last_expected=2.600 last_hard=1.0
processed_new=65 skipped=0 row_index=65/400 last_expected=3.255 last_hard=4.0
processed_new=70 skipped=0 row_index=70/400 last_expected=2.715 last_hard=1.0
processed_new=75 skipped=0 row_index=75/400 last_expected=2.582 last_hard=2.0
processed_new=80 skipped=0 row_index=80/400 last_expected=3.205 last_hard=3.0
processed_new=85 skipped=0 row_index=85/400 last_expected=3.149 last_hard=3.0
processed_new=90 skipped=0 row_index=90/400 last_expected=3.172 last_hard=3.0
processed_new=95 skipped=0 row_index=95/400 last_expected=2.765 last_hard=1.0
processed_new=100 skipped=0 row_index=100/400 last_expected=2.554 last_hard=1.0
processed_new=105 skipped=0 row_index=105/400 last_expected=2.758 last_hard=2.0
