sample_id,rep_a,rep_b,pair,sentence_transformer_cosine,rouge_l_f1
2a18ac682b29a1b23a88f74aa1682148bfc4b9b3ce926755610179a0c3967f12,binary,assembly,Binary–Assembly,0.6529307961463928,0.285325406378038
2a18ac682b29a1b23a88f74aa1682148bfc4b9b3ce926755610179a0c3967f12,binary,source,Binary–Source,0.36652134656906127,0.16455512749954138
2a18ac682b29a1b23a88f74aa1682148bfc4b9b3ce926755610179a0c3967f12,assembly,source,Assembly–Source,0.43317564725875857,0.20627036039970092
b04d2f654f1e5dec4ab48dfc32a3cb102785d11453b8fe2d6b3bf879acc18777,binary,assembly,Binary–Assembly,0.42145892381668093,0.27848054043153864
b04d2f654f1e5dec4ab48dfc32a3cb102785d11453b8fe2d6b3bf879acc18777,binary,source,Binary–Source,0.30776709914207456,0.18037995378480254
b04d2f654f1e5dec4ab48dfc32a3cb102785d11453b8fe2d6b3bf879acc18777,assembly,source,Assembly–Source,0.5055868864059448,0.19029472075911705
a164ca7a375f7880e85129134b898a59b2e43159967545a13c20ebcc6137849e,binary,assembly,Binary–Assembly,0.6077555298805237,0.28951912416011827
a164ca7a375f7880e85129134b898a59b2e43159967545a13c20ebcc6137849e,binary,source,Binary–Source,0.3670231580734253,0.16454044528609565
a164ca7a375f7880e85129134b898a59b2e43159967545a13c20ebcc6137849e,assembly,source,Assembly–Source,0.6551958203315735,0.20098776814911412
20950d70fde7d1337fb7ba2bf07fcc0219acbf534c14713199381c8098808dc2,binary,assembly,Binary–Assembly,0.38026013076305387,0.22569667129310048
20950d70fde7d1337fb7ba2bf07fcc0219acbf534c14713199381c8098808dc2,binary,source,Binary–Source,0.3290960222482681,0.17713454813964502
20950d70fde7d1337fb7ba2bf07fcc0219acbf534c14713199381c8098808dc2,assembly,source,Assembly–Source,0.572218143939972,0.29872338837358225
03604a1cb6d243724c18b193b6700707d6e98080e9601391a77894b0064731e1,binary,assembly,Binary–Assembly,0.6066729307174683,0.27217517158141297
03604a1cb6d243724c18b193b6700707d6e98080e9601391a77894b0064731e1,binary,source,Binary–Source,0.39586383700370786,0.19490655852061398
03604a1cb6d243724c18b193b6700707d6e98080e9601391a77894b0064731e1,assembly,source,Assembly–Source,0.3717300117015839,0.17020215611817535
154aba528c64bcdccf9da53d3d2f7054f5986b3cf943c6d5d10a5fcc6dc37bbf,binary,assembly,Binary–Assembly,0.5270293772220611,0.23841068187710657
154aba528c64bcdccf9da53d3d2f7054f5986b3cf943c6d5d10a5fcc6dc37bbf,binary,source,Binary–Source,0.4133416026830673,0.2188479510945454
154aba528c64bcdccf9da53d3d2f7054f5986b3cf943c6d5d10a5fcc6dc37bbf,assembly,source,Assembly–Source,0.6662363648414612,0.23785912437915577
c35d307daed5f190d9e525be4d0f8e5d8138c392235bf448bd22687e4f63cc0e,binary,assembly,Binary–Assembly,0.5370704829692841,0.2135491971341028
